id	numPatients	name	source	subtype	mutGenes	patients	pval	expected	n
GO:0007265	7	Ras protein signal transduction	go	BP	KRAS,NRAS,SDCBP,SETDB1,TP53	NP01,NP10,NP11,NP12,NP16,NP17,NP19	0	2.17	1000
GO:0071456	7	cellular response to hypoxia	go	BP	HIPK2,PTEN,PTN,TP53	NP01,NP10,NP11,NP12,NP16,NP17,NP19	0	2.616	1000
GO:0030330	6	DNA damage response, signal transduction by p53 class mediator	go	BP	NBN,TP53	NP01,NP10,NP11,NP12,NP16,NP19	0	0.566	1000
GO:0034644	6	cellular response to UV	go	BP	PTN,TP53,TP73	NP01,NP10,NP11,NP12,NP16,NP19	0	1.358	1000
GO:0097193	6	intrinsic apoptotic signaling pathway	go	BP	CUL4A,CUL5,HIPK2,MSH6,NBN,TP53	NP01,NP10,NP11,NP12,NP16,NP19	0	0.999	1000
GO:0000733	5	DNA strand renaturation	go	BP	RECQL4,TP53	NP01,NP11,NP12,NP16,NP19	0	0.347	1000
GO:0006978	5	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	go	BP	HIPK2,TP53,TP73	NP01,NP11,NP12,NP16,NP19	0	0.482	1000
GO:0006983	5	ER overload response	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.369	1000
GO:0010165	5	response to X-ray	go	BP	THBD,TP53,TP73	NP01,NP11,NP12,NP16,NP19	0	0.81	1000
GO:0031497	5	chromatin assembly	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.299	1000
GO:0032461	5	positive regulation of protein oligomerization	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.513	1000
GO:0048512	5	circadian behavior	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.241	1000
GO:0051097	5	negative regulation of helicase activity	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.119	1000
GO:0051974	5	negative regulation of telomerase activity	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.484	1000
GO:0070245	5	positive regulation of thymocyte apoptotic process	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.195	1000
GO:0090403	5	oxidative stress-induced premature senescence	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.158	1000
GO:0097252	5	oligodendrocyte apoptotic process	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.078	1000
GO:1900119	5	positive regulation of execution phase of apoptosis	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.312	1000
GO:1902749	5	regulation of cell cycle G2/M phase transition	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.22	1000
GO:1990440	5	positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress	go	BP	TP53	NP01,NP11,NP12,NP16,NP19	0	0.404	1000
GO:1904885	4	beta-catenin destruction complex assembly	go	BP	APC	NP04,NP11,NP12,NP19	0	0.197	1000
GO:0031658	3	negative regulation of cyclin-dependent protein serine/threonine kinase activity involved in G1/S transition of mitotic cell cycle	go	BP	PTEN	NP12,NP16,NP17	0	0.026	1000
GO:0032535	3	regulation of cellular component size	go	BP	PTEN	NP12,NP16,NP17	0	0.026	1000
GO:0033032	3	regulation of myeloid cell apoptotic process	go	BP	PTEN	NP12,NP16,NP17	0	0.062	1000
GO:0060179	3	male mating behavior	go	BP	PTEN	NP12,NP16,NP17	0	0.169	1000
GO:0090071	3	negative regulation of ribosome biogenesis	go	BP	PTEN	NP12,NP16,NP17	0	0.066	1000
GO:2000808	3	negative regulation of synaptic vesicle clustering	go	BP	PTEN	NP12,NP16,NP17	0	0.026	1000
GO:0008340	5	determination of adult lifespan	go	BP	MSH6,TP53	NP01,NP11,NP12,NP16,NP19	0.001	0.456	1000
GO:0031065	5	positive regulation of histone deacetylation	go	BP	NIPBL,TP53	NP01,NP11,NP12,NP16,NP19	0.001	0.354	1000
GO:0031571	5	mitotic G1 DNA damage checkpoint	go	BP	TP53,TP73	NP01,NP11,NP12,NP16,NP19	0.001	0.386	1000
