entrez	new
1	4774
2	403284
9	10611
10	64108
12	115019
13	84343
14	26682
15	328
16	151516
18	9839
19	987
20	11248
21	64759
22	139341
23	7092
24	9457
25	10960
26	54622
27	738
28	7562
29	51075
30	57592
31	168507
32	8366
33	4646
34	23082
35	85027
36	164284
37	10400
38	7582
39	134510
40	441531
41	54437
43	93436
47	3191
48	27237
49	163183
50	2931
51	54914
52	10630
53	1464
54	387700
55	57379
56	117246
58	51170
59	4289
60	55844
70	4082
71	64282
72	56994
81	6789
86	51001
87	6676
88	3728
89	51213
90	6944
91	134860
92	136
93	387267
94	93953
95	83448
97	2701
98	9075
100	122809
101	51778
102	84818
103	84708
104	1794
105	7052
107	79912
108	4790
109	219438
111	55365
112	23479
113	255738
114	8737
115	2740
116	25948
117	5265
118	51151
119	3032
120	27153
123	8193
124	5876
125	10403
126	389136
127	662
128	57611
130	79031
131	84174
132	53820
133	729920
134	161931
135	29899
136	92960
140	26038
141	162605
142	84869
143	6259
146	9855
147	27334
148	57119
150	55122
151	57103
152	114803
153	8763
154	80119
155	84953
156	5889
157	147111
158	29923
159	10284
160	79896
161	8581
162	8732
163	65987
164	26084
165	80853
166	9760
167	28996
173	388512
174	27289
175	10203
176	340252
177	79660
178	50487
181	5583
182	90809
183	4324
185	155038
186	23450
187	332
189	59344
190	7515
191	504191
196	8876
197	8882
199	196968
202	51255
203	55237
204	843
205	8853
207	11062
208	57467
210	251
211	2862
212	3240
213	84553
214	6004
215	80325
216	390155
217	390664
218	283970
219	10209
220	7618
221	1149
222	4115
223	8477
224	51195
225	84301
226	253959
229	10410
230	8899
231	3855
238	11319
239	390321
240	29928
241	10135
242	79727
246	1432
247	26045
248	51032
249	4319
250	359845
251	23746
257	22837
258	9360
259	10428
262	5818
265	10982
266	55798
267	92922
268	4926
269	79993
270	5437
271	7770
272	170680
273	10099
274	9001
275	84128
276	22917
277	80099
278	64343
279	486
280	11164
283	727940
284	2796
285	11197
286	128637
287	7434
288	8608
290	222166
291	388630
292	6445
293	11273
301	440050
302	51379
304	5900
306	90861
307	25937
308	254065
309	151306
310	55607
311	9703
312	3358
313	55240
314	26610
316	4040
317	3806
318	57180
319	1948
320	705
321	5827
322	83886
323	55278
324	160364
325	8200
326	2288
327	133522
328	54498
329	3480
330	9294
331	23008
332	7324
333	8621
334	2072
335	730291
336	27295
337	22861
338	9900
339	79661
341	196472
343	51375
344	199745
345	254228
346	6575
347	5909
348	6171
350	3204
351	387775
353	26873
354	128338
355	339977
356	1329
357	6580
358	1902
359	51068
360	29028
361	10392
362	339521
363	56927
364	1316
366	10153
367	4850
368	285676
369	254170
372	51011
373	927
374	81889
375	3034
377	6334
378	3488
379	3761
381	79813
382	27079
383	9637
384	51650
387	390326
388	25822
389	196335
390	338879
391	25936
392	6010
393	5174
394	3084
395	58489
396	1642
397	51119
398	3831
399	27086
400	7101
401	222643
402	93643
403	170958
405	7694
406	57465
407	84108
408	63974
409	57669
410	1393
411	23532
412	7812
414	130813
415	3615
416	83597
417	124538
419	23155
420	8861
421	58494
427	3931
429	83417
430	3444
432	8665
433	6665
434	729515
435	55973
438	5430
439	285315
440	9047
443	51026
444	440023
445	146713
460	1845
462	9685
463	79035
466	4256
467	6390
468	10094
471	359787
472	2736
473	6120
474	55252
475	29763
476	51174
477	9868
478	1628
479	954
480	148156
481	3397
482	119
483	7862
486	113802
487	113402
488	441639
489	1361
490	337971
491	389668
492	146802
493	5097
495	3146
496	6480
498	26211
501	65123
506	642517
509	23742
513	84651
514	219988
515	7771
516	129080
517	154007
518	221154
521	9328
522	746
523	2353
525	58511
526	30848
527	1144
528	144717
529	64210
533	2152
534	23011
535	10777
537	256356
538	93408
539	7038
540	29993
545	64682
546	4837
547	57585
549	8930
550	3140
551	387890
552	3455
553	9398
554	55144
558	55876
563	10326
566	127731
567	51008
570	7726
571	6059
572	121214
573	63898
574	1557
575	5005
576	390110
577	7089
578	80824
579	7373
580	8825
581	79759
582	2888
583	723961
585	55723
586	64110
587	51260
590	3429
593	54101
594	64841
595	79836
596	1044
597	51287
598	3090
599	8968
602	22950
604	57115
605	91801
607	144124
608	166863
610	441549
611	7390
613	284114
617	1555
622	3904
623	3055
624	56964
627	2620
629	3428
631	83591
632	5879
633	6478
634	4361
635	11188
636	9877
637	114785
638	28977
639	27023
640	23064
641	11216
642	10938
643	64855
644	729092
645	27127
646	23764
648	83943
649	390265
650	4255
651	54474
652	205428
653	56124
654	284403
655	79153
656	26515
657	5609
658	50939
659	24139
660	6943
661	6861
662	90407
663	269
664	474170
665	9805
666	149371
667	255783
668	84101
669	9638
670	7753
671	23446
672	192670
673	4129
675	353141
676	9407
677	119682
678	219982
680	2202
682	23382
683	56891
684	29947
685	6635
686	391211
687	159686
688	6047
689	116039
694	23549
695	23089
696	1847
699	390441
701	9133
705	171017
706	91603
708	7432
710	554235
712	404203
713	3134
