patient	cluster	entrez	gene	source	subtype	id	name
NP11	0	58	ACTA1	go	BP	GO:0006936	muscle contraction
NP11	0	58	ACTA1	go	BP	GO:0009612	response to mechanical stimulus
NP11	0	58	ACTA1	go	BP	GO:0009991	response to extracellular stimulus
NP11	0	58	ACTA1	go	BP	GO:0010226	response to lithium ion
NP11	0	58	ACTA1	go	BP	GO:0010628	positive regulation of gene expression
NP11	0	58	ACTA1	go	BP	GO:0016049	cell growth
NP11	0	58	ACTA1	go	BP	GO:0030049	muscle filament sliding
NP11	0	58	ACTA1	go	BP	GO:0030240	skeletal muscle thin filament assembly
NP11	0	58	ACTA1	go	BP	GO:0043503	skeletal muscle fiber adaptation
NP11	0	58	ACTA1	go	BP	GO:0048545	response to steroid hormone
NP11	0	58	ACTA1	go	BP	GO:0048741	skeletal muscle fiber development
NP11	0	58	ACTA1	go	BP	GO:0090131	mesenchyme migration
NP11	0	72	ACTG2	go	BP	GO:0006936	muscle contraction
NP17	0	72	ACTG2	go	BP	GO:0006936	muscle contraction
NP11	0	72	ACTG2	go	BP	GO:0010628	positive regulation of gene expression
NP17	0	72	ACTG2	go	BP	GO:0010628	positive regulation of gene expression
NP11	0	72	ACTG2	go	BP	GO:0090131	mesenchyme migration
NP17	0	72	ACTG2	go	BP	GO:0090131	mesenchyme migration
NP12	0	87	ACTN1	go	BP	GO:0002576	platelet degranulation
NP12	0	87	ACTN1	go	BP	GO:0007015	actin filament organization
NP12	0	87	ACTN1	go	BP	GO:0030220	platelet formation
NP12	0	87	ACTN1	go	BP	GO:0036344	platelet morphogenesis
NP12	0	87	ACTN1	go	BP	GO:0042981	regulation of apoptotic process
NP12	0	87	ACTN1	go	BP	GO:0048041	focal adhesion assembly
NP12	0	87	ACTN1	go	BP	GO:0051017	actin filament bundle assembly
NP12	0	87	ACTN1	go	BP	GO:0051271	negative regulation of cellular component movement
NP12	0	87	ACTN1	go	BP	GO:0051639	actin filament network formation
NP12	0	87	ACTN1	go	BP	GO:0051764	actin crosslink formation
NP12	0	87	ACTN1	go	BP	GO:1903506	regulation of nucleic acid-templated transcription
NP11	0	98	ACYP2	go	BP	GO:0006796	phosphate-containing compound metabolic process
NP11	0	102	ADAM10	go	BP	GO:0001701	in utero embryonic development
NP11	0	102	ADAM10	go	BP	GO:0006468	protein phosphorylation
NP11	0	102	ADAM10	go	BP	GO:0006509	membrane protein ectodomain proteolysis
NP11	0	102	ADAM10	go	BP	GO:0007162	negative regulation of cell adhesion
NP11	0	102	ADAM10	go	BP	GO:0007219	Notch signaling pathway
NP11	0	102	ADAM10	go	BP	GO:0007220	Notch receptor processing
NP11	0	102	ADAM10	go	BP	GO:0007229	integrin-mediated signaling pathway
NP11	0	102	ADAM10	go	BP	GO:0007267	cell-cell signaling
NP11	0	102	ADAM10	go	BP	GO:0008284	positive regulation of cell proliferation
NP11	0	102	ADAM10	go	BP	GO:0010820	positive regulation of T cell chemotaxis
NP11	0	102	ADAM10	go	BP	GO:0016485	protein processing
NP11	0	102	ADAM10	go	BP	GO:0022617	extracellular matrix disassembly
NP11	0	102	ADAM10	go	BP	GO:0030307	positive regulation of cell growth
NP11	0	102	ADAM10	go	BP	GO:0030335	positive regulation of cell migration
NP11	0	102	ADAM10	go	BP	GO:0034612	response to tumor necrosis factor
NP11	0	102	ADAM10	go	BP	GO:0042117	monocyte activation
NP11	0	102	ADAM10	go	BP	GO:0048013	ephrin receptor signaling pathway
NP11	0	102	ADAM10	go	BP	GO:0051088	PMA-inducible membrane protein ectodomain proteolysis
NP11	0	102	ADAM10	go	BP	GO:0051089	constitutive protein ectodomain proteolysis
NP11	0	115	ADCY9	go	BP	GO:0003091	renal water homeostasis
NP11	0	115	ADCY9	go	BP	GO:0006171	cAMP biosynthetic process
NP11	0	115	ADCY9	go	BP	GO:0007165	signal transduction
NP11	0	115	ADCY9	go	BP	GO:0007189	adenylate cyclase-activating G-protein coupled receptor signaling pathway
NP11	0	115	ADCY9	go	BP	GO:0007190	activation of adenylate cyclase activity
NP11	0	115	ADCY9	go	BP	GO:0007193	adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway
NP11	0	115	ADCY9	go	BP	GO:0019933	cAMP-mediated signaling
NP11	0	115	ADCY9	go	BP	GO:0034199	activation of protein kinase A activity
NP11	0	115	ADCY9	go	BP	GO:0071377	cellular response to glucagon stimulus
NP11	0	115	ADCY9	go	BP	GO:0071880	adenylate cyclase-activating adrenergic receptor signaling pathway
NP17	0	176	ACAN	go	BP	GO:0001501	skeletal system development
NP17	0	176	ACAN	go	BP	GO:0006508	proteolysis
NP17	0	176	ACAN	go	BP	GO:0007155	cell adhesion
NP17	0	176	ACAN	go	BP	GO:0007417	central nervous system development
NP17	0	176	ACAN	go	BP	GO:0018146	keratan sulfate biosynthetic process
NP17	0	176	ACAN	go	BP	GO:0022617	extracellular matrix disassembly
NP17	0	176	ACAN	go	BP	GO:0030198	extracellular matrix organization
NP17	0	176	ACAN	go	BP	GO:0042340	keratan sulfate catabolic process
NP10	1	220	ALDH1A3	go	BP	GO:0002072	optic cup morphogenesis involved in camera-type eye development
NP10	1	220	ALDH1A3	go	BP	GO:0002138	retinoic acid biosynthetic process
NP10	1	220	ALDH1A3	go	BP	GO:0007626	locomotory behavior
NP10	1	220	ALDH1A3	go	BP	GO:0021768	nucleus accumbens development
NP10	1	220	ALDH1A3	go	BP	GO:0042472	inner ear morphogenesis
NP10	1	220	ALDH1A3	go	BP	GO:0042572	retinol metabolic process
NP10	1	220	ALDH1A3	go	BP	GO:0042573	retinoic acid metabolic process
NP10	1	220	ALDH1A3	go	BP	GO:0042574	retinal metabolic process
NP10	1	220	ALDH1A3	go	BP	GO:0043065	positive regulation of apoptotic process
NP10	1	220	ALDH1A3	go	BP	GO:0048048	embryonic eye morphogenesis
NP10	1	220	ALDH1A3	go	BP	GO:0050885	neuromuscular process controlling balance
NP10	1	220	ALDH1A3	go	BP	GO:0055114	oxidation-reduction process
NP10	1	220	ALDH1A3	go	BP	GO:0060013	righting reflex
NP10	1	220	ALDH1A3	go	BP	GO:0060166	olfactory pit development
NP10	1	220	ALDH1A3	go	BP	GO:0060324	face development
NP12	0	280	AMY2B	go	BP	GO:0005975	carbohydrate metabolic process
NP12	0	280	AMY2B	go	BP	GO:0007586	digestion
NP17	0	313	AOAH	go	BP	GO:0006629	lipid metabolic process
NP17	0	313	AOAH	go	BP	GO:0006954	inflammatory response
NP04	1	324	APC	go	BP	GO:0000281	mitotic cytokinesis
NP11	0	324	APC	go	BP	GO:0000281	mitotic cytokinesis
NP12	0	324	APC	go	BP	GO:0000281	mitotic cytokinesis
NP19	0	324	APC	go	BP	GO:0000281	mitotic cytokinesis
NP04	1	324	APC	go	BP	GO:0001708	cell fate specification
NP11	0	324	APC	go	BP	GO:0001708	cell fate specification
NP12	0	324	APC	go	BP	GO:0001708	cell fate specification
NP19	0	324	APC	go	BP	GO:0001708	cell fate specification
NP04	1	324	APC	go	BP	GO:0006461	protein complex assembly
NP11	0	324	APC	go	BP	GO:0006461	protein complex assembly
NP12	0	324	APC	go	BP	GO:0006461	protein complex assembly
NP19	0	324	APC	go	BP	GO:0006461	protein complex assembly
NP04	1	324	APC	go	BP	GO:0006921	cellular component disassembly involved in execution phase of apoptosis
NP11	0	324	APC	go	BP	GO:0006921	cellular component disassembly involved in execution phase of apoptosis
NP12	0	324	APC	go	BP	GO:0006921	cellular component disassembly involved in execution phase of apoptosis
NP19	0	324	APC	go	BP	GO:0006921	cellular component disassembly involved in execution phase of apoptosis
NP04	1	324	APC	go	BP	GO:0006974	cellular response to DNA damage stimulus
NP11	0	324	APC	go	BP	GO:0006974	cellular response to DNA damage stimulus
NP12	0	324	APC	go	BP	GO:0006974	cellular response to DNA damage stimulus
NP19	0	324	APC	go	BP	GO:0006974	cellular response to DNA damage stimulus
NP04	1	324	APC	go	BP	GO:0007026	negative regulation of microtubule depolymerization
NP11	0	324	APC	go	BP	GO:0007026	negative regulation of microtubule depolymerization
NP12	0	324	APC	go	BP	GO:0007026	negative regulation of microtubule depolymerization
NP19	0	324	APC	go	BP	GO:0007026	negative regulation of microtubule depolymerization
NP04	1	324	APC	go	BP	GO:0007050	cell cycle arrest
NP11	0	324	APC	go	BP	GO:0007050	cell cycle arrest
NP12	0	324	APC	go	BP	GO:0007050	cell cycle arrest
NP19	0	324	APC	go	BP	GO:0007050	cell cycle arrest
NP04	1	324	APC	go	BP	GO:0007094	mitotic spindle assembly checkpoint
NP11	0	324	APC	go	BP	GO:0007094	mitotic spindle assembly checkpoint
NP12	0	324	APC	go	BP	GO:0007094	mitotic spindle assembly checkpoint
NP19	0	324	APC	go	BP	GO:0007094	mitotic spindle assembly checkpoint
NP04	1	324	APC	go	BP	GO:0007155	cell adhesion
NP11	0	324	APC	go	BP	GO:0007155	cell adhesion
NP12	0	324	APC	go	BP	GO:0007155	cell adhesion
NP19	0	324	APC	go	BP	GO:0007155	cell adhesion
NP04	1	324	APC	go	BP	GO:0007389	pattern specification process
NP11	0	324	APC	go	BP	GO:0007389	pattern specification process
NP12	0	324	APC	go	BP	GO:0007389	pattern specification process
NP19	0	324	APC	go	BP	GO:0007389	pattern specification process
NP04	1	324	APC	go	BP	GO:0008285	negative regulation of cell proliferation
NP11	0	324	APC	go	BP	GO:0008285	negative regulation of cell proliferation
NP12	0	324	APC	go	BP	GO:0008285	negative regulation of cell proliferation
NP19	0	324	APC	go	BP	GO:0008285	negative regulation of cell proliferation
NP04	1	324	APC	go	BP	GO:0016055	Wnt signaling pathway
NP11	0	324	APC	go	BP	GO:0016055	Wnt signaling pathway
NP12	0	324	APC	go	BP	GO:0016055	Wnt signaling pathway
NP19	0	324	APC	go	BP	GO:0016055	Wnt signaling pathway
NP04	1	324	APC	go	BP	GO:0016477	cell migration
NP11	0	324	APC	go	BP	GO:0016477	cell migration
NP12	0	324	APC	go	BP	GO:0016477	cell migration
NP19	0	324	APC	go	BP	GO:0016477	cell migration
NP04	1	324	APC	go	BP	GO:0030335	positive regulation of cell migration
NP11	0	324	APC	go	BP	GO:0030335	positive regulation of cell migration
NP12	0	324	APC	go	BP	GO:0030335	positive regulation of cell migration
NP19	0	324	APC	go	BP	GO:0030335	positive regulation of cell migration
NP04	1	324	APC	go	BP	GO:0031274	positive regulation of pseudopodium assembly
NP11	0	324	APC	go	BP	GO:0031274	positive regulation of pseudopodium assembly
NP12	0	324	APC	go	BP	GO:0031274	positive regulation of pseudopodium assembly
NP19	0	324	APC	go	BP	GO:0031274	positive regulation of pseudopodium assembly
NP04	1	324	APC	go	BP	GO:0032886	regulation of microtubule-based process
NP11	0	324	APC	go	BP	GO:0032886	regulation of microtubule-based process
NP12	0	324	APC	go	BP	GO:0032886	regulation of microtubule-based process
NP19	0	324	APC	go	BP	GO:0032886	regulation of microtubule-based process
NP04	1	324	APC	go	BP	GO:0043065	positive regulation of apoptotic process
NP11	0	324	APC	go	BP	GO:0043065	positive regulation of apoptotic process
NP12	0	324	APC	go	BP	GO:0043065	positive regulation of apoptotic process
NP19	0	324	APC	go	BP	GO:0043065	positive regulation of apoptotic process
NP04	1	324	APC	go	BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
NP11	0	324	APC	go	BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
NP12	0	324	APC	go	BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
NP19	0	324	APC	go	BP	GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
NP04	1	324	APC	go	BP	GO:0045595	regulation of cell differentiation
NP11	0	324	APC	go	BP	GO:0045595	regulation of cell differentiation
NP12	0	324	APC	go	BP	GO:0045595	regulation of cell differentiation
NP19	0	324	APC	go	BP	GO:0045595	regulation of cell differentiation
NP04	1	324	APC	go	BP	GO:0045732	positive regulation of protein catabolic process
NP11	0	324	APC	go	BP	GO:0045732	positive regulation of protein catabolic process
NP12	0	324	APC	go	BP	GO:0045732	positive regulation of protein catabolic process
NP19	0	324	APC	go	BP	GO:0045732	positive regulation of protein catabolic process
NP04	1	324	APC	go	BP	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity
NP11	0	324	APC	go	BP	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity
NP12	0	324	APC	go	BP	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity
NP19	0	324	APC	go	BP	GO:0045736	negative regulation of cyclin-dependent protein serine/threonine kinase activity
NP04	1	324	APC	go	BP	GO:0051988	regulation of attachment of spindle microtubules to kinetochore
NP11	0	324	APC	go	BP	GO:0051988	regulation of attachment of spindle microtubules to kinetochore
NP12	0	324	APC	go	BP	GO:0051988	regulation of attachment of spindle microtubules to kinetochore
NP19	0	324	APC	go	BP	GO:0051988	regulation of attachment of spindle microtubules to kinetochore
NP04	1	324	APC	go	BP	GO:0060070	canonical Wnt signaling pathway
NP11	0	324	APC	go	BP	GO:0060070	canonical Wnt signaling pathway
NP12	0	324	APC	go	BP	GO:0060070	canonical Wnt signaling pathway
NP19	0	324	APC	go	BP	GO:0060070	canonical Wnt signaling pathway
NP04	1	324	APC	go	BP	GO:0070830	bicellular tight junction assembly
NP11	0	324	APC	go	BP	GO:0070830	bicellular tight junction assembly
NP12	0	324	APC	go	BP	GO:0070830	bicellular tight junction assembly
NP19	0	324	APC	go	BP	GO:0070830	bicellular tight junction assembly
NP04	1	324	APC	go	BP	GO:0090090	negative regulation of canonical Wnt signaling pathway
NP11	0	324	APC	go	BP	GO:0090090	negative regulation of canonical Wnt signaling pathway
NP12	0	324	APC	go	BP	GO:0090090	negative regulation of canonical Wnt signaling pathway
NP19	0	324	APC	go	BP	GO:0090090	negative regulation of canonical Wnt signaling pathway
NP04	1	324	APC	go	BP	GO:1904885	beta-catenin destruction complex assembly
NP11	0	324	APC	go	BP	GO:1904885	beta-catenin destruction complex assembly
NP12	0	324	APC	go	BP	GO:1904885	beta-catenin destruction complex assembly
NP19	0	324	APC	go	BP	GO:1904885	beta-catenin destruction complex assembly
NP04	1	324	APC	go	BP	GO:1904886	beta-catenin destruction complex disassembly
NP11	0	324	APC	go	BP	GO:1904886	beta-catenin destruction complex disassembly
NP12	0	324	APC	go	BP	GO:1904886	beta-catenin destruction complex disassembly
NP19	0	324	APC	go	BP	GO:1904886	beta-catenin destruction complex disassembly
NP12	0	460	ASTN1	go	BP	GO:0001764	neuron migration
NP19	0	460	ASTN1	go	BP	GO:0001764	neuron migration
NP12	0	460	ASTN1	go	BP	GO:0007158	neuron cell-cell adhesion
NP19	0	460	ASTN1	go	BP	GO:0007158	neuron cell-cell adhesion
NP12	0	460	ASTN1	go	BP	GO:0007626	locomotory behavior
NP19	0	460	ASTN1	go	BP	GO:0007626	locomotory behavior
NP12	0	489	ATP2A3	go	BP	GO:0006810	transport
NP12	0	489	ATP2A3	go	BP	GO:0006816	calcium ion transport
NP12	0	489	ATP2A3	go	BP	GO:0006874	cellular calcium ion homeostasis
NP12	0	489	ATP2A3	go	BP	GO:0034220	ion transmembrane transport
NP12	0	489	ATP2A3	go	BP	GO:0070588	calcium ion transmembrane transport
NP12	0	489	ATP2A3	go	BP	GO:1903779	regulation of cardiac conduction
NP11	0	547	KIF1A	go	BP	GO:0008089	anterograde axonal transport
NP11	0	613	BCR	go	BP	GO:0002692	negative regulation of cellular extravasation
NP11	0	613	BCR	go	BP	GO:0006468	protein phosphorylation
NP11	0	613	BCR	go	BP	GO:0007165	signal transduction
NP11	0	613	BCR	go	BP	GO:0007420	brain development
NP11	0	613	BCR	go	BP	GO:0018108	peptidyl-tyrosine phosphorylation
NP11	0	613	BCR	go	BP	GO:0030036	actin cytoskeleton organization
